x0,x1,x2,x3,x4,x5,y
0.0,300.4,309.8,1513.0,32.9,117.0,0
2.0,299.8,310.2,1411.0,49.7,161.0,0
0.0,303.5,312.9,1332.0,52.9,66.0,0
0.0,298.8,309.3,1450.0,44.8,63.0,0
2.0,297.0,307.8,1404.0,40.7,184.0,0
0.0,300.4,311.5,1704.0,29.7,103.0,0
0.0,302.6,311.9,1633.0,30.9,89.0,0
1.0,298.2,309.0,1446.0,45.8,80.0,0
0.0,302.6,310.5,1596.0,32.8,193.0,0
1.0,303.3,312.7,1642.0,33.6,104.0,0
0.0,301.5,311.1,1731.0,27.9,101.0,0
2.0,298.1,307.6,1496.0,44.1,104.0,0
0.0,299.6,309.1,1369.0,51.4,164.0,0
0.0,297.4,308.3,1706.0,30.9,9.0,0
0.0,297.2,308.1,1431.0,49.7,210.0,1
0.0,296.8,308.2,1643.0,34.7,191.0,0
0.0,295.5,306.1,1573.0,35.1,129.0,0
0.0,301.7,310.1,1424.0,50.2,54.0,0
1.0,298.8,309.7,1477.0,48.5,138.0,0
1.0,300.7,311.0,1559.0,42.8,121.0,0
2.0,299.6,311.0,1714.0,30.2,128.0,0
1.0,300.2,310.3,1448.0,40.1,209.0,0
1.0,299.2,308.2,1674.0,28.2,14.0,0
0.0,297.5,308.2,1489.0,40.7,141.0,0
0.0,295.6,306.1,1474.0,41.2,156.0,0
1.0,300.8,310.7,1386.0,42.1,170.0,0
1.0,298.8,309.6,1575.0,34.4,149.0,0
0.0,297.3,308.3,1550.0,37.0,54.0,0
1.0,300.6,309.8,1532.0,42.5,130.0,0
0.0,300.0,309.6,1514.0,44.6,98.0,0
0.0,299.1,308.6,1611.0,31.4,161.0,0
1.0,300.9,310.8,1790.0,26.2,191.0,0
1.0,303.3,311.5,1384.0,54.8,48.0,0
0.0,300.6,311.7,1507.0,45.5,74.0,0
2.0,298.9,308.8,1621.0,32.7,75.0,0
0.0,302.1,311.3,1758.0,24.4,200.0,0
0.0,299.4,310.8,1391.0,48.9,139.0,0
