x0,x1,y
0.6416099317161704,0.7802164257734012,1
0.8619047594292834,0.4695637747917544,1
0.48864846839284404,0.4019832568684357,0
0.5915898506203646,0.14418430139625127,0
0.23614516542943798,0.04844876970033374,1
0.35627013806724583,0.7287899330816746,1
0.5071134734570542,0.8836688920305549,1
0.2531735068878924,0.2649953328130449,0
0.9469276361773833,0.06432757141914058,1
0.5057529759548209,0.8433984387825334,1
0.3760588483826037,0.44923500886998646,0
0.15666500210357948,0.5036414072990432,0
0.3338445095732656,0.767123190370575,1
0.1380371702928258,0.9185337277023577,0
0.32552870538961576,0.8660419048482163,1
0.3028525968477592,0.2195205753458317,0
0.888252843502343,0.9273429513478152,1
0.27867873077766603,0.5670581531164367,0
0.6373535300182733,0.2082005871054814,0
0.06456516967256176,0.01718537697403244,0
0.39876584598865594,0.0975494855056509,0
0.43505374379551,0.8000521899605175,1
0.9416752994142924,0.017300787459204048,1
0.9291645418892114,0.6544065269180996,1
0.10241789020390613,0.24172781266824273,0
0.06066675720197967,0.29048676585739563,0
0.9006028313505678,0.45245586980523256,1
0.18239638603077557,0.46488971473069207,0
0.20679240408148958,0.35940718963923834,0
0.9693244391280819,0.5689880212352236,1
0.5765341613218984,0.008205911905827201,0
0.6978952446734379,0.3791299058594265,1
0.612690819921596,0.6623394099530736,1
0.3005487668590824,0.2673674210432726,0
0.24863100586784004,0.9556083873704976,1
0.4397617403549323,0.7713141293187654,1
0.08053161526398078,0.24465732968701592,0
0.33282426928148745,0.4742350629920603,0
0.9526693271389152,0.12456711794067943,1
0.20484472232499173,0.05285154841336115,0
0.3391255486508946,0.27998643276057766,0
0.5412776522105486,0.5335814636726083,1
0.8487246682734185,0.2677076835432258,1
0.8765240322975345,0.5408214007306393,1
0.6274706890561486,0.5280244646389866,1
0.8406001180310324,0.4799982487911154,1
0.4604554969637692,0.2469087121731638,0
0.3655381514916558,0.5205992944225668,0
0.5197455413883171,0.3401497677018608,0
0.04265673593730579,0.4244109709113796,0
0.4041940405839104,0.7256007064461676,1
0.6851970902263723,0.6771346923458598,1
0.9646647857019583,0.8761308734201898,1
0.409483205858002,0.3352558924249497,0
0.21233575439553942,0.5231352059496359,0
0.10635053178754372,0.20530015769481458,0
0.7290096503156943,0.46164015023279925,1
0.5676579341299081,0.870073225899389,1
0.8320169359757885,0.34292238855682367,1
0.8690052991954008,0.37031620782348906,1
0.4413722819533533,0.47971704932249004,0
0.36944001734285714,0.04164044633899211,0
0.22905653149081173,0.43031793675387675,0
0.5763869753757612,0.3589582324430405,0
0.0792302429621069,0.9833042157185172,0
0.0314331369196037,0.7067201207613641,1
0.7441029468194512,0.11734094194229161,0
0.029692726371595146,0.5138195864713218,0
