x0,x1,x2,x3,x4,x5,x6,x7,y
0.491261,5.0,0.255319,0.028972,0.314043,0.001984,0.263594,0.512719,0
0.91173,6.0,0.212766,0.064939,0.311366,0.004304,0.362765,0.669737,0
0.004867,1.0,0.659574,0.10475,0.543737,0.003467,0.422915,0.414912,1
0.469448,2.0,0.659574,0.045334,0.478429,0.003039,0.467374,0.486404,1
0.00907,5.0,0.489362,0.081632,0.627194,0.003467,0.422915,0.414912,1
0.455821,7.0,0.085106,0.053471,0.410146,0.003737,0.413516,0.266228,0
0.885403,2.0,0.595745,0.029182,0.544778,0.001988,0.514759,0.438596,0
0.473386,7.0,0.042553,0.033866,0.244273,0.002345,0.339202,0.257456,0
0.893854,5.0,0.212766,0.044104,0.288753,0.002846,0.357069,0.723684,0
0.442193,4.0,0.978723,0.058725,0.469206,0.003467,0.422915,0.414912,0
0.459891,2.0,0.446809,0.043443,0.576317,0.002943,0.539876,0.51886,1
0.464537,2.0,0.87234,0.07935,0.393633,0.005301,0.442258,0.623684,1
0.881465,4.0,0.914894,0.02612,0.383368,0.001772,0.448472,0.469298,0
0.893589,6.0,0.93617,0.058695,0.633442,0.003951,0.449767,0.603509,0
0.46082,2.0,0.170213,0.027021,0.131806,0.001857,0.149663,0.429386,0
0.433742,1.0,0.148936,0.041431,0.111425,0.003467,0.422915,0.414912,0
0.875802,1.0,0.617021,0.029633,0.312705,0.000995,0.241585,0.857018,1
0.017521,2.0,0.468085,0.080581,0.564267,0.003467,0.422915,0.414912,0
0.429494,5.0,0.212766,0.077459,0.30958,0.003467,0.422915,0.414912,1
0.452104,6.0,0.87234,0.034226,0.567391,0.002337,0.469446,0.356579,0
0.460289,4.0,0.702128,0.042272,0.497322,0.002896,0.539099,0.304386,1
0.429494,5.0,0.382979,0.085925,0.579887,0.003467,0.422915,0.414912,1
0.030884,4.0,0.574468,0.103339,0.549241,0.003467,0.422915,0.414912,1
0.867926,6.0,0.085106,0.02579,0.199643,0.001059,0.294407,0.814912,0
0.902969,3.0,0.574468,0.115047,0.501041,0.007902,0.713102,0.218421,1
0.451794,6.0,0.234043,0.033566,0.36626,0.002196,0.337649,0.80307,0
0.894297,1.0,0.191489,0.021706,0.151443,0.001417,0.304764,0.664474,0
0.868059,2.0,0.425532,0.029843,0.325945,0.000841,0.220093,0.814474,1
0.915623,3.0,0.595745,0.05275,0.503422,0.00361,0.591921,0.278947,0
0.915623,3.0,0.340426,0.081092,0.527075,0.005507,0.55593,0.346491,1
0.000796,6.0,0.638298,0.099526,0.300357,0.003467,0.422915,0.414912,0
0.447901,2.0,0.191489,0.0,0.186849,0.0,0.171155,0.587281,0
0.907836,1.0,0.787234,0.043803,0.398393,0.002921,0.295702,0.59693,1
0.889828,5.0,0.489362,0.060676,0.629128,0.00426,0.677369,0.207456,0
0.443166,6.0,0.93617,0.044524,0.490479,0.002997,0.369498,0.587719,0
0.876775,2.0,0.148936,0.025249,0.170931,0.001543,0.228897,0.838158,0
0.898102,4.0,0.0,0.070704,0.552663,0.00381,0.467374,0.676754,1
0.906907,1.0,0.659574,0.027471,0.247099,0.001803,0.166753,0.624123,0
0.018008,6.0,0.574468,0.069713,0.319697,0.003467,0.422915,0.414912,0
0.004336,3.0,0.042553,0.046956,0.427849,0.003467,0.422915,0.414912,0
0.01376,7.0,0.659574,0.072175,0.316126,0.003467,0.422915,0.414912,1
0.031459,3.0,0.680851,0.06611,0.469652,0.003467,0.422915,0.414912,0
0.903279,3.0,0.638298,0.087426,0.491669,0.005837,0.524081,0.486842,1
0.446883,7.0,0.93617,0.049628,0.45299,0.002771,0.336613,0.72807,1
0.889208,5.0,0.553191,0.028942,0.536447,0.002015,0.542206,0.399123,0
0.018052,7.0,1.0,0.060376,0.333085,0.003467,0.422915,0.414912,0
0.018627,6.0,0.382979,0.106851,0.450164,0.003467,0.422915,0.414912,1
0.885182,4.0,0.680851,0.029242,0.512943,0.00199,0.509322,0.252632,0
0.903411,6.0,0.744681,0.049027,0.539572,0.003303,0.489125,0.467105,0
0.429096,3.0,0.702128,0.0916,0.51205,0.003467,0.422915,0.414912,1
0.880404,1.0,0.510638,0.033355,0.365516,0.000833,0.251165,0.74386,0
0.880979,7.0,0.851064,0.031854,0.340821,0.002009,0.359399,0.698684,1
0.460201,2.0,0.851064,0.045725,0.546712,0.003166,0.51217,0.308772,1
0.026459,2.0,0.744681,0.059986,0.499554,0.003467,0.422915,0.414912,0
0.438476,4.0,0.723404,0.06584,0.505653,0.003467,0.422915,0.414912,1
0.026813,3.0,0.042553,0.049478,0.260637,0.003467,0.422915,0.414912,0
0.424716,1.0,0.93617,0.133842,0.407617,0.003467,0.422915,0.414912,1
0.867926,6.0,0.191489,0.027471,0.256025,0.001014,0.261781,0.825877,0
0.460466,1.0,0.659574,0.025129,0.252157,0.001687,0.284309,0.712719,1
0.461174,3.0,0.446809,0.029783,0.48557,0.001992,0.498446,0.322807,0
0.442281,6.0,0.808511,0.055722,0.418923,0.003467,0.422915,0.414912,1
0.907924,3.0,0.765957,0.041762,0.472925,0.002833,0.494562,0.329825,0
0.026415,1.0,0.255319,0.095773,0.358078,0.003467,0.422915,0.414912,1
0.027255,6.0,0.297872,0.109313,0.367153,0.003467,0.422915,0.414912,1
0.443432,5.0,0.404255,0.081212,0.566201,0.005661,0.629726,0.363596,1
0.01407,7.0,0.297872,0.070974,0.237429,0.003467,0.422915,0.414912,1
0.000885,1.0,0.06383,0.083884,0.246802,0.003467,0.422915,0.414912,0
0.0,2.0,0.829787,0.040861,0.470693,0.003467,0.422915,0.414912,0
0.898721,4.0,1.0,0.084844,0.555489,0.004823,0.524858,0.61886,1
0.009469,7.0,0.87234,0.041762,0.593722,0.003467,0.422915,0.414912,0
0.991018,6.0,0.446809,0.040261,0.590598,0.002771,0.554117,0.353509,0
0.871377,1.0,0.042553,0.025279,0.172716,0.000848,0.324443,0.772368,0
0.452237,2.0,0.553191,0.033325,0.53972,0.002248,0.56784,0.522368,0
0.443432,5.0,0.297872,0.042783,0.46147,0.002954,0.485241,0.480263,0
0.429052,2.0,0.87234,0.067551,0.354508,0.003467,0.422915,0.414912,0
0.880404,1.0,0.170213,0.02663,0.088962,0.001718,0.166494,0.760526,0
0.885359,1.0,0.212766,0.0136,0.090152,0.000885,0.151735,0.761404,0
0.008672,3.0,0.851064,0.11823,0.694734,0.003467,0.422915,0.414912,1
0.45675,7.0,0.723404,0.02693,0.373103,0.00182,0.38581,0.653947,0
0.442326,1.0,0.659574,0.053321,0.286224,0.00317,0.211548,0.500526,1
0.438432,3.0,0.297872,0.061247,0.40717,0.003467,0.422915,0.414912,1
