x0,x1,x2,x3,x4,x5,y
1.0,299.6,310.8,1427.0,50.4,98.0,0
0.0,299.2,308.8,1405.0,51.4,183.0,0
0.0,301.1,310.5,1532.0,37.5,119.0,0
0.0,302.7,310.4,1489.0,42.7,33.0,0
0.0,299.2,308.7,1514.0,41.9,196.0,0
1.0,301.1,311.2,1591.0,35.0,208.0,0
0.0,300.0,310.2,1760.0,26.9,193.0,0
0.0,298.8,308.1,1472.0,53.5,28.0,0
1.0,298.2,308.9,1592.0,35.2,142.0,0
2.0,297.9,308.9,1416.0,39.6,45.0,0
2.0,298.9,310.1,1324.0,54.6,185.0,0
0.0,298.9,308.2,1686.0,30.4,53.0,0
1.0,298.2,307.8,1411.0,53.4,110.0,0
0.0,296.3,307.3,1567.0,31.4,5.0,0
0.0,300.2,311.4,1331.0,49.8,143.0,0
2.0,301.9,311.0,1336.0,63.6,111.0,0
0.0,298.1,307.8,1540.0,37.8,203.0,0
1.0,303.1,311.4,1831.0,23.3,161.0,0
2.0,303.8,312.5,1447.0,46.6,198.0,0
1.0,303.5,313.0,1403.0,51.9,77.0,0
0.0,302.0,309.9,1308.0,57.6,197.0,1
1.0,299.3,308.7,1459.0,35.6,87.0,0
1.0,300.7,310.1,1483.0,40.2,162.0,0
0.0,302.1,311.2,1460.0,46.9,198.0,0
0.0,301.5,310.9,1600.0,39.0,160.0,0
0.0,299.9,309.3,1473.0,40.4,59.0,0
0.0,303.4,311.8,2268.0,15.8,20.0,0
0.0,301.2,309.9,1382.0,52.4,13.0,0
0.0,301.5,311.1,1434.0,49.6,129.0,0
0.0,300.5,309.8,1445.0,43.9,164.0,0
0.0,302.2,311.9,1596.0,38.0,156.0,0
1.0,303.1,311.2,1489.0,44.5,27.0,0
0.0,300.4,311.8,1272.0,59.2,198.0,1
1.0,297.8,307.9,1802.0,25.8,43.0,0
0.0,302.5,311.9,1481.0,42.9,52.0,0
1.0,298.5,309.3,1512.0,38.1,170.0,0
0.0,299.5,309.1,1852.0,22.6,77.0,0
1.0,298.9,309.9,1404.0,41.4,20.0,0
0.0,302.8,312.4,1590.0,34.4,64.0,0
1.0,298.0,307.6,1301.0,58.5,155.0,0
0.0,301.3,310.1,1558.0,36.3,184.0,0
1.0,299.8,311.2,1706.0,29.2,148.0,0
0.0,299.7,309.6,1512.0,36.2,172.0,0
0.0,298.6,309.2,1542.0,48.4,42.0,0
1.0,304.0,312.7,1456.0,51.2,160.0,0
0.0,302.1,310.1,1543.0,35.8,164.0,0
0.0,296.2,307.1,1441.0,41.7,3.0,0
1.0,300.1,309.1,1533.0,38.0,26.0,0
0.0,300.8,310.8,1407.0,45.1,51.0,0
0.0,300.1,309.7,1641.0,30.4,41.0,0
0.0,298.9,310.1,2109.0,18.0,61.0,0
1.0,297.6,308.5,1848.0,23.7,37.0,0
0.0,298.8,309.9,1320.0,47.4,210.0,0
0.0,297.9,307.6,1589.0,37.8,120.0,0
1.0,300.5,310.0,1406.0,50.2,119.0,0
2.0,297.3,308.7,1569.0,33.9,93.0,0
0.0,300.2,311.6,1500.0,39.0,174.0,0
1.0,298.8,309.7,1439.0,45.8,81.0,0
1.0,300.8,310.1,1686.0,26.9,128.0,0
1.0,298.7,310.3,1495.0,38.7,88.0,0
1.0,303.4,311.5,1483.0,43.0,117.0,0
0.0,299.1,308.2,1348.0,56.1,110.0,0
0.0,300.1,309.5,1660.0,32.7,57.0,0
0.0,304.3,313.5,1464.0,36.7,194.0,0
0.0,298.2,308.4,1497.0,37.7,207.0,0
0.0,299.3,310.2,1495.0,49.2,16.0,0
0.0,301.2,311.0,1612.0,32.9,129.0,0
1.0,300.7,310.8,1724.0,30.0,76.0,0
0.0,300.3,310.2,1471.0,45.2,48.0,0
0.0,298.2,307.7,1688.0,32.4,91.0,0
0.0,298.1,309.0,1502.0,40.9,153.0,0
0.0,299.2,310.4,1570.0,37.3,37.0,0
0.0,301.7,311.0,1441.0,44.3,208.0,1
0.0,299.6,311.1,1679.0,30.7,129.0,0
0.0,300.3,311.7,1452.0,41.5,172.0,0
0.0,301.0,311.3,1349.0,47.0,71.0,0
1.0,299.9,311.3,1445.0,41.2,169.0,0
0.0,295.5,306.1,1650.0,32.8,67.0,0
0.0,299.5,310.0,1379.0,50.4,85.0,0
0.0,300.5,309.8,1421.0,49.6,211.0,0
0.0,300.2,311.0,1627.0,33.7,147.0,0
0.0,299.2,308.5,1378.0,50.4,220.0,1
0.0,297.3,308.5,1528.0,44.5,140.0,0
0.0,297.4,308.7,1584.0,38.2,154.0,0
0.0,302.1,310.8,1786.0,25.7,47.0,0
1.0,302.3,311.4,1418.0,41.3,62.0,0
2.0,303.7,312.5,1520.0,35.6,154.0,0
0.0,300.7,310.5,1536.0,47.4,192.0,0
2.0,297.0,307.9,1846.0,27.3,179.0,0
0.0,300.9,310.7,1479.0,43.3,201.0,0
2.0,300.3,309.9,1405.0,52.1,205.0,0
0.0,300.5,311.6,1730.0,30.2,106.0,0
0.0,299.6,310.2,1627.0,36.6,17.0,0
0.0,297.5,308.4,1633.0,33.3,213.0,0
1.0,300.6,310.2,1233.0,52.3,23.0,0
